12's Division,,PLQ,L1,L1,L1,L2,L2,L2,L3,L3,L3,Region,Region,Region,Season
,,,,,,,,,,,,,,,
,,Place,Place,Division,Points,Place,Division,Points,Place,Division,Points,Place,Division,Points,Total
1,SynergyForce 12 Gold,4,3,Gold,297,2,Gold,447,1,Gold,600,2,Gold,894,2238.00
2,Absolute Black 12-1,9,1,Gold,300,4,Gold,444,4,Gold,592,1,Gold,900,2236.00
3,NorCal Black 12-1,5,5,Gold,294.5,5,Gold,441.8,2,Gold,596,3,Gold,891,2223.25
4,Club Solano Thunder 12-1,8,9,Gold,291,1,Gold,450,3,Gold,594,4,Gold,888,2223.00
5,SF Tremors Wolverines12-1,3,4,Gold,296,3,Gold,445.5,5,Gold,589,7,Gold,879,2209.50
6,Red Rock 12-1,1,2,Gold,298,8,Gold,438.8,10,Gold,580,6,Gold,882,2198.75
7,Frisco Bay 12-1,7,6,Gold,294.5,7,Gold,438.8,7,Gold,585,10,Gold,870,2188.25
8,Vision 12 Gold,15,13,Silver,287,9,Gold,436.5,8,Gold,585,8,Gold,876,2184.50
9,650 Xtreme Red 12-1,6,7,Gold,292.5,6,Gold,441.8,9,Gold,582,11,Gold,867,2183.25
10,SF JRS RoShamBo 12-1,2,8,Gold,292.5,10,Gold,435,14,Silver,570,5,Gold,885,2182.50
11,SF Tremors Mustangs 12-2,10,11,Gold,289,13,Silver,430.5,11,Gold,578,9,Gold,873,2170.50
12,Encore Navy 12-1,11,10,Gold,290,14,Silver,427.5,6,Gold,589,13,Silver,861,2167.50
13,Rage 12-Fatima,22,15,Silver,284,11,Gold,433.5,13,Silver,574,14,Silver,855,2146.50
14,Vibe Rebels 12's,16,14,Silver,285,12,Gold,432,18,Silver,563,12,Gold,864,2144.00
15,Stingray Black 12-1,21,16,Silver,283,16,Silver,424.5,15,Silver,568,15,Silver,852,2127.50
16,Marin Jrs Black 12-1,12,12,Gold,288,15,Silver,426,12,Gold,576,22,Bronze,831,2121.00
17,Absolute Pink 12-2,24,17,Silver,281.5,17,Silver,422.3,16,Silver,566,17,Silver,846,2115.75
18,Slainte Black 12-1,20,20,Silver,279.5,20,Silver,419.3,21,Silver,556,16,Silver,849,2103.75
19,Academy 12 Gold,19,18,Silver,281.5,19,Silver,419.3,19,Silver,559,18,Silver,843,2102.75
20,City Beach Black 12-1,17,21,Silver,278,21,Silver,417,17,Silver,563,19,Silver,840,2098.00
21,Beach Vibes Dolphins 12-1,26,25,Bronze,274,18,Silver,422.3,20,Silver,559,21,Silver,834,2089.25
22,Soljahs 12-1,14,22,Silver,277,25,Bronze,411,23,Silver,552,20,Silver,837,2077.00
23,Vision 12 Blue,18,19,Silver,279.5,23,Silver,414,26,Bronze,544,24,Bronze,825,2062.50
24,Aspire Black 12-1,28,26,Bronze,272,22,Silver,415.5,25,Bronze,548,25,Bronze,822,2057.50
25,Polaris 12's Power,27,27,Bronze,271,24,Silver,412.5,28,Bronze,540,23,Bronze,828,2051.50
26,Red Rock 11-1,30,30,Bronze,268.5,26,Bronze,408,22,Silver,554,29,Bronze,807,2037.50
27,Turlock Crush 12-1,36,33,Bronze,265,27,Bronze,406.5,24,Silver,550,27,Bronze,813,2034.50
28,Red Rock 12-2,13,23,Silver,276,31,Bronze,399.8,31,Bronze,533,26,Bronze,816,2024.75
29,NorCal Blue 12-2,23,24,Silver,275,30,Bronze,402.8,33,Bronze,530,28,Bronze,810,2017.75
30,650 Xtreme Navy 12-2,29,29,Bronze,268.5,28,Bronze,405,27,Bronze,542,32,Aqua,798,2013.50
31,Absolute Black 11-1,32,28,Bronze,270,29,Bronze,402.8,29,Bronze,537,31,Aqua,801,2010.75
32,Vibe Fierce 12's,31,31,Bronze,266.5,32,Bronze,399.8,34,Bronze,528,30,Aqua,804,1998.25
33,Vibe Force 12's,35,34,Bronze,264,33,Bronze,397.5,32,Bronze,533,33,Aqua,795,1989.50
34,Encore Red 12-2,33,36,Bronze,262,35,Bronze,394.5,30,Bronze,537,36,Aqua,789,1982.50
35,Diablo Black 12-1,25,32,Bronze,266.5,34,Bronze,396,36,Bronze,524,34,Aqua,792,1978.50
36,Club Solano Excel 12-2,34,35,Bronze,263,36,Bronze,393,35,Bronze,526,35,Aqua,789,1971.00